Survived	Pclass	Sex	Age	SibSp	Parch	Fare	Embarked
0	3	male	22	1	0	7.25	S
1	1	female	38	1	0	71.28	C
1	3	female	26	0	0	7.92	S
1	1	female	35	1	0	53.1	S
0	3	male	35	0	0	8.05	S
0	1	male	54	0	0	51.86	S
0	3	male	2	3	1	21.08	S
1	3	female	27	0	2	11.13	S
1	2	female	14	1	0	30.07	C
1	3	female	4	1	1	16.7	S
1	1	female	58	0	0	26.55	S
0	3	male	20	0	0	8.05	S
1	3	female	4	1	1	16.7	S
0	3	female	14	0	0	7.85	S
1	2	female	55	0	0	16	S
0	3	male	2	4	1	29.12	Q
0	3	female	31	1	0	18	S
0	2	male	35	0	0	26	S
1	2	male	34	0	0	13	S
1	3	female	15	0	0	8.03	Q
1	3	female	4	1	1	16.7	S
0	3	female	8	3	1	21.08	S
1	3	female	38	1	5	31.39	S
0	1	male	19	3	2	263	S
0	1	male	40	0	0	27.72	C
1	1	female	1	1	0	146.52	C
0	2	male	66	0	0	10.5	S
0	1	male	28	1	0	82.17	C
0	1	male	42	1	0	52	S
0	3	male	21	0	0	8.05	S
0	3	female	18	2	0	18	S
1	3	female	14	1	0	11.24	C
0	3	female	40	1	0	9.47	S
0	2	female	27	1	0	21	S
1	2	female	3	1	2	41.58	C
1	3	female	19	0	0	7.88	Q
0	3	female	18	1	0	17.8	S
0	3	male	7	4	1	39.69	S
0	3	male	21	0	0	7.8	S
1	1	female	49	1	0	76.73	C
1	2	female	29	1	0	26	S
0	1	male	65	0	1	61.98	C
1	2	female	21	0	0	10.5	S
0	3	male	28	0	0	7.23	C
1	2	female	5	1	2	27.75	S
0	3	male	11	5	2	46.9	S
0	3	male	22	0	0	7.23	C
1	1	female	38	0	0	80	S
0	1	male	45	1	0	83.47	S
0	3	male	4	3	2	27.9	S
1	2	female	29	0	0	10.5	S
0	3	male	19	0	0	8.16	S
1	3	female	17	4	2	7.92	S
0	3	male	26	2	0	8.66	S
0	2	male	32	0	0	10.5	S
0	3	female	16	5	2	46.9	S
0	2	male	21	0	0	73.5	S
0	3	male	26	1	0	14.45	C
1	3	male	32	0	0	56.5	S
0	3	male	25	0	0	7.65	S
1	2	male	1	0	2	29	S
1	3	female	30	0	0	12.47	S
0	3	male	22	0	0	9	S
1	3	male	29	0	0	9.5	S
0	1	male	28	0	0	47.1	S
1	2	female	17	0	0	10.5	S
1	3	female	33	3	0	15.85	S
0	3	male	16	1	3	34.38	S
1	1	female	23	3	2	263	S
0	3	male	24	0	0	8.05	S
0	3	male	29	0	0	8.05	S
0	3	male	20	0	0	7.85	S
0	1	male	46	1	0	61.17	S
0	3	male	26	1	2	20.58	S
0	3	male	59	0	0	7.25	S
0	1	male	71	0	0	34.65	C
1	1	male	23	0	1	63.36	C
1	2	female	34	0	1	23	S
0	2	male	34	1	0	26	S
0	3	female	28	0	0	7.9	S
0	1	male	21	0	1	77.29	S
0	3	male	33	0	0	8.65	S
0	3	male	37	2	0	7.92	S
0	3	male	28	0	0	7.9	S
1	3	female	21	0	0	7.65	S
0	3	male	38	0	0	7.9	S
0	1	male	47	0	0	52	S
0	3	female	14	1	0	14.45	C
0	3	male	22	0	0	8.05	S
0	3	female	20	1	0	9.82	S
0	3	female	17	0	0	14.46	C
0	3	male	21	0	0	7.92	S
0	3	male	70	0	0	7.75	Q
0	2	male	29	1	0	21	S
0	1	male	24	0	1	247.52	C
0	3	female	2	4	2	31.27	S
0	2	male	21	2	0	73.5	S
0	2	male	32	1	0	30.07	C
1	2	female	32	0	0	13	S
0	1	male	54	0	1	77.29	S
1	3	male	12	1	0	11.24	C
1	3	male	24	0	0	7.14	S
0	3	male	45	0	0	6.97	S
0	3	male	33	0	0	7.9	C
0	3	male	20	0	0	7.05	S
0	3	female	47	1	0	14.5	S
1	2	female	29	1	0	26	S
0	2	male	25	0	0	13	S
0	2	male	23	0	0	15.05	C
1	1	female	19	0	2	26.28	S
0	1	male	37	1	0	53.1	S
0	3	male	16	0	0	9.22	S
0	1	male	24	0	0	79.2	C
1	3	female	22	0	0	7.75	S
1	3	female	24	1	0	15.85	S
0	3	male	19	0	0	6.75	Q
0	2	male	18	0	0	11.5	S
0	2	male	19	1	1	36.75	S
1	3	male	27	0	0	7.8	S
0	3	female	9	2	2	34.38	S
0	2	male	36	0	2	26	S
0	2	male	42	0	0	13	S
0	2	male	51	0	0	12.53	S
1	1	female	22	1	0	66.6	S
0	3	male	56	0	0	8.05	S
0	3	male	40	0	2	14.5	S
0	1	male	51	0	1	61.38	C
1	3	female	16	0	0	7.73	Q
0	3	male	30	0	0	8.05	S
0	3	male	44	0	1	16.1	S
1	2	female	40	0	0	15.75	S
0	3	male	26	0	0	7.78	S
0	3	male	17	0	0	8.66	S
0	3	male	1	4	1	39.69	S
1	3	male	9	0	2	20.52	S
0	3	female	45	1	4	27.9	S
0	3	male	28	0	0	56.5	S
0	1	male	61	0	0	33.5	S
0	3	male	4	4	1	29.12	Q
1	3	female	1	1	1	11.13	S
0	3	male	21	0	0	7.92	S
0	1	male	56	0	0	30.7	C
0	3	male	18	1	1	7.85	S
0	1	female	50	0	0	28.71	C
0	2	male	30	0	0	13	S
0	3	male	36	0	0	0	S
0	3	male	9	4	2	31.39	S
1	2	male	1	2	1	39	S
1	3	female	4	0	2	22.02	S
1	1	male	45	0	0	26.55	S
0	3	male	40	1	1	15.5	Q
0	3	male	36	0	0	7.9	S
1	2	female	32	0	0	13	S
0	2	male	19	0	0	13	S
1	3	female	19	1	0	7.85	S
1	2	male	3	1	1	26	S
1	1	female	44	0	0	27.72	C
1	1	female	58	0	0	146.52	C
0	3	male	42	0	1	8.4	S
0	2	female	24	0	0	13	S
0	3	male	28	0	0	9.5	S
0	3	male	34	0	0	6.5	S
0	3	male	46	0	0	7.22	C
1	3	male	18	0	0	8.05	S
0	3	female	2	0	1	10.46	S
0	3	male	32	1	0	15.85	S
1	3	male	26	0	0	18.79	C
1	3	female	16	0	0	7.75	Q
1	1	male	40	0	0	31	C
0	3	male	24	0	0	7.05	S
1	2	female	35	0	0	21	S
0	3	male	22	0	0	7.25	S
0	2	male	30	0	0	13	S
1	1	female	31	1	0	113.28	C
1	3	female	27	0	0	7.92	S
0	2	male	42	1	0	27	S
1	1	female	32	0	0	76.29	C
0	2	male	30	0	0	10.5	S
1	3	male	16	0	0	8.05	S
0	2	male	27	0	0	13	S
0	3	male	51	0	0	8.05	S
1	1	male	38	1	0	90	S
0	3	male	22	0	0	9.35	S
1	2	male	19	0	0	10.5	S
0	3	male	20	0	0	7.25	S
0	2	male	18	0	0	13	S
1	1	female	35	1	0	83.47	S
0	3	male	29	0	0	7.78	S
0	2	male	59	0	0	13.5	S
1	3	female	5	4	2	31.39	S
0	2	male	24	0	0	10.5	S
0	2	male	44	1	0	26	S
1	2	female	8	0	2	26.25	S
0	2	male	19	0	0	10.5	S
0	2	male	33	0	0	12.28	S
0	2	male	29	0	0	10.5	S
0	3	male	22	0	0	7.12	S
0	3	male	30	0	0	7.22	C
0	1	male	44	2	0	90	Q
0	3	female	25	0	0	7.78	S
1	2	female	24	0	2	14.5	S
1	1	male	37	1	1	52.55	S
0	2	male	54	1	0	26	S
0	3	female	29	1	1	10.46	S
0	1	male	62	0	0	26.55	S
0	3	male	30	1	0	16.1	S
0	3	female	41	0	2	20.21	S
1	3	female	29	0	2	15.25	C
1	1	female	30	0	0	86.5	S
1	1	female	35	0	0	512.33	C
1	2	female	50	0	1	26	S
1	3	male	3	4	2	31.39	S
0	1	male	52	1	1	79.65	S
0	1	male	40	0	0	0	S
0	2	male	36	0	0	10.5	S
0	3	male	16	4	1	39.69	S
1	3	male	25	1	0	7.78	S
1	1	female	58	0	1	153.46	S
1	1	female	35	0	0	135.63	S
1	3	male	25	0	0	0	S
1	2	female	41	0	1	19.5	S
0	1	male	37	0	1	29.7	C
1	1	female	63	1	0	77.96	S
0	3	female	45	0	0	7.75	S
0	3	male	7	4	1	29.12	Q
1	3	female	35	1	1	20.25	S
0	3	male	65	0	0	7.75	Q
0	3	male	28	0	0	7.85	S
0	3	male	16	0	0	9.5	S
1	3	male	19	0	0	8.05	S
0	3	male	33	0	0	8.66	C
1	3	male	30	0	0	9.5	S
0	3	male	22	0	0	7.9	S
1	2	male	42	0	0	13	S
1	3	female	22	0	0	7.75	Q
1	1	female	26	0	0	78.85	S
1	1	female	19	1	0	91.08	C
0	2	male	36	0	0	12.88	C
0	3	female	24	0	0	8.85	S
0	3	male	24	0	0	7.9	S
0	3	male	24	0	0	7.23	C
0	1	female	2	1	2	151.55	S
1	1	female	50	0	1	247.52	C
0	3	male	19	0	0	0	S
1	1	male	1	1	2	151.55	S
1	1	female	17	1	0	108.9	C
0	2	male	30	1	0	24	C
1	1	female	30	0	0	56.93	C
1	1	female	24	0	0	83.16	C
1	1	female	18	2	2	262.38	C
0	2	female	26	1	1	26	S
0	3	male	28	0	0	7.9	S
0	2	male	43	1	1	26.25	S
1	3	female	26	0	0	7.85	S
1	2	female	24	1	0	26	S
0	2	male	54	0	0	14	S
1	1	female	31	0	2	164.87	S
1	1	female	40	1	1	134.5	C
0	3	male	22	0	0	7.25	S
0	3	male	27	0	0	7.9	S
1	2	female	30	0	0	12.35	Q
1	2	female	22	1	1	29	S
1	1	female	36	0	0	135.63	C
0	3	male	61	0	0	6.24	S
1	2	female	36	0	0	13	S
1	3	female	31	1	1	20.52	S
1	1	female	16	0	1	57.98	C
0	1	male	46	0	0	28.5	S
0	1	male	38	0	1	153.46	S
0	3	male	16	2	0	18	S
0	1	male	29	1	0	66.6	S
1	1	female	41	0	0	134.5	C
1	3	male	45	0	0	8.05	S
0	1	male	45	0	0	35.5	S
1	2	male	2	1	1	26	S
1	1	female	24	3	2	263	S
0	2	male	28	0	0	13	S
0	2	male	25	0	0	13	S
0	2	male	36	0	0	13	S
1	2	female	24	0	0	13	S
1	2	female	40	0	0	13	S
1	3	male	3	1	1	15.9	S
0	3	male	42	0	0	8.66	S
0	3	male	23	0	0	9.22	S
0	3	male	15	1	1	7.23	C
0	3	male	25	1	0	17.8	S
0	3	male	28	0	0	9.5	S
1	1	female	22	0	1	55	S
0	2	female	38	0	0	13	S
0	3	male	40	1	4	27.9	S
0	2	male	29	1	0	27.72	C
0	3	female	45	0	1	14.45	C
0	3	male	35	0	0	7.05	S
0	3	male	30	0	0	7.25	S
1	1	female	60	1	0	75.25	C
1	1	female	24	0	0	69.3	C
1	1	male	25	1	0	55.44	C
0	3	male	18	1	0	6.5	S
0	3	male	19	0	0	8.05	S
0	1	male	22	0	0	135.63	C
0	3	female	3	3	1	21.08	S
1	3	female	22	0	0	7.25	S
0	1	male	27	0	2	211.5	C
0	3	male	20	0	0	4.01	C
0	3	male	19	0	0	7.78	S
1	1	female	42	0	0	227.52	C
1	3	female	1	0	2	15.74	C
0	3	male	32	0	0	7.92	S
1	1	female	35	1	0	52	S
0	2	male	18	0	0	73.5	S
0	3	male	1	5	2	46.9	S
1	2	female	36	0	0	13	S
1	2	female	17	0	0	12	C
1	1	male	36	1	2	120	S
1	3	male	21	0	0	7.8	S
0	3	male	28	2	0	7.92	S
1	1	female	23	1	0	113.28	C
1	3	female	24	0	2	16.7	S
0	3	male	22	0	0	7.8	S
0	3	female	31	0	0	7.85	S
0	2	male	46	0	0	26	S
0	2	male	23	0	0	10.5	S
1	2	female	28	0	0	12.65	S
1	3	male	39	0	0	7.92	S
0	3	male	26	0	0	8.05	S
0	3	female	21	1	0	9.82	S
0	3	male	28	1	0	15.85	S
0	3	female	20	0	0	8.66	S
0	2	male	34	1	0	21	S
0	3	male	51	0	0	7.75	S
1	2	male	3	1	1	18.75	S
0	3	male	21	0	0	7.78	S
1	1	female	33	1	0	90	Q
1	3	male	44	0	0	7.92	S
1	2	female	34	1	1	32.5	S
1	2	female	18	0	2	13	S
0	2	male	30	0	0	13	S
0	3	female	10	0	2	24.15	S
0	3	male	21	0	0	7.73	Q
0	3	male	29	0	0	7.88	S
0	3	female	28	1	1	14.4	S
0	3	male	18	1	1	20.21	S
1	2	female	28	1	0	26	S
1	2	female	19	0	0	26	S
1	3	male	32	0	0	8.05	S
1	1	male	28	0	0	26.55	S
1	2	female	42	1	0	26	S
0	3	male	17	0	0	7.12	S
0	1	male	50	1	0	55.9	S
1	1	female	14	1	2	120	S
0	3	female	21	2	2	34.38	S
1	2	female	24	2	3	18.75	S
0	1	male	64	1	4	263	S
0	2	male	31	0	0	10.5	S
1	2	female	45	1	1	26.25	S
0	3	male	20	0	0	9.5	S
0	3	male	25	1	0	7.78	S
1	2	female	28	0	0	13	S
1	1	male	4	0	2	81.86	S
1	2	female	13	0	1	19.5	S
1	1	male	34	0	0	26.55	S
1	3	female	5	2	1	19.26	C
1	1	male	52	0	0	30.5	S
0	2	male	36	1	2	27.75	S
0	1	male	30	0	0	27.75	C
1	1	male	49	1	0	89.1	C
1	3	male	29	0	0	7.9	C
0	1	male	65	0	0	26.55	S
1	2	female	50	0	0	10.5	S
1	1	male	48	0	0	26.55	S
0	3	male	34	0	0	8.05	S
0	1	male	47	0	0	38.5	S
0	2	male	48	0	0	13	S
0	3	male	38	0	0	7.05	S
0	1	male	56	0	0	26.55	S
1	3	female	1	2	1	19.26	C
0	3	male	38	0	0	8.66	S
1	2	female	33	1	2	27.75	S
1	2	female	23	0	0	13.79	C
0	3	female	22	0	0	9.84	S
0	2	male	34	1	0	21	S
0	3	male	29	1	0	7.05	S
0	3	male	22	0	0	7.52	S
1	3	female	2	0	1	12.29	S
0	3	male	9	5	2	46.9	S
0	3	male	50	0	0	8.05	S
1	3	female	63	0	0	9.59	S
1	1	male	25	1	0	91.08	C
1	1	female	35	1	0	90	S
0	1	male	58	0	0	29.7	C
0	3	male	30	0	0	8.05	S
1	3	male	9	1	1	15.9	S
0	3	male	21	0	0	7.25	S
0	1	male	55	0	0	30.5	S
0	1	male	71	0	0	49.5	C
0	3	male	21	0	0	8.05	S
1	1	female	54	1	0	78.27	C
0	1	female	25	1	2	151.55	S
0	3	male	24	0	0	7.8	S
0	3	male	17	0	0	8.66	S
0	3	female	21	0	0	7.75	Q
0	3	female	37	0	0	9.59	S
1	1	female	16	0	0	86.5	S
0	1	male	18	1	0	108.9	C
1	2	female	33	0	2	26	S
1	1	male	3	0	0	26.55	S
0	3	male	28	0	0	22.52	S
1	3	male	26	0	0	56.5	S
1	3	male	29	0	0	7.75	Q
1	1	male	36	0	0	26.29	S
1	1	female	54	1	0	59.4	C
0	3	male	24	0	0	7.5	S
0	1	male	47	0	0	34.02	S
1	2	female	34	0	0	10.5	S
1	2	female	36	1	0	26	S
0	3	male	32	0	0	7.9	S
1	1	male	38	1	0	90	S
0	3	male	22	0	0	7.9	S
0	3	male	12	0	0	7.22	C
1	1	female	44	0	1	57.98	C
0	3	male	40	0	0	7.75	Q
1	2	female	50	0	0	10.5	S
0	3	male	39	0	0	7.92	S
0	2	male	23	2	1	11.5	S
1	2	female	2	1	1	26	S
0	3	male	17	1	1	7.23	C
0	3	female	30	0	0	8.66	S
1	2	female	7	0	2	26.25	S
0	1	male	45	0	0	26.55	S
1	1	female	30	0	0	106.42	C
1	1	female	22	0	2	49.5	C
1	1	female	36	0	2	71	S
0	3	female	9	4	2	31.27	S
0	3	female	11	4	2	31.27	S
1	2	male	32	1	0	26	S
0	1	male	50	1	0	106.42	C
0	1	male	64	0	0	26	S
1	2	female	19	1	0	26	S
0	3	male	33	1	1	20.52	S
1	2	male	8	1	1	36.75	S
1	1	male	17	0	2	110.88	C
0	2	male	27	0	0	26	S
1	3	male	22	0	0	7.22	C
1	3	female	22	0	0	7.78	S
0	1	male	62	0	0	26.55	S
1	1	female	48	1	0	39.6	C
1	1	female	39	1	1	79.65	S
1	3	female	36	1	0	17.4	S
0	3	male	40	0	0	7.9	S
0	2	male	28	0	0	13.5	S
0	3	male	24	2	0	24.15	S
0	3	male	19	0	0	7.9	S
0	3	female	29	0	4	21.08	S
1	3	male	32	0	0	7.85	S
1	2	male	62	0	0	10.5	S
1	1	female	53	2	0	51.48	S
1	1	male	36	0	0	26.39	S
0	3	male	16	0	0	8.05	S
0	3	male	19	0	0	14.5	S
1	2	female	34	0	0	13	S
1	1	female	39	1	0	55.9	S
1	3	male	32	0	0	7.92	S
1	2	female	25	1	1	30	S
1	1	female	39	1	1	110.88	C
0	2	male	54	0	0	26	S
0	1	male	36	0	0	40.12	C
1	1	female	18	0	2	79.65	S
0	2	male	47	0	0	15	S
1	1	male	60	1	1	79.2	C
0	3	male	22	0	0	8.05	S
0	3	male	35	0	0	7.12	S
1	1	female	52	1	0	78.27	C
0	3	male	47	0	0	7.25	S
0	2	male	37	1	0	26	S
0	3	male	36	1	1	24.15	S
0	3	male	49	0	0	0	S
1	1	male	49	1	0	56.93	C
1	2	female	24	2	1	27	S
0	3	male	44	0	0	8.05	S
1	1	male	35	0	0	26.55	C
0	3	male	36	1	0	15.55	S
0	3	male	30	0	0	7.9	S
1	1	male	27	0	0	30.5	S
1	2	female	22	1	2	41.58	C
1	1	female	40	0	0	153.46	S
0	3	female	39	1	5	31.27	S
0	3	male	35	0	0	8.05	S
1	2	female	24	1	2	65	S
0	3	male	34	1	1	14.4	S
0	3	female	26	1	0	16.1	S
1	2	female	4	2	1	39	S
0	2	male	26	0	0	10.5	S
0	3	male	27	1	0	14.45	C
1	1	male	42	1	0	52.55	S
1	3	male	20	1	1	15.74	C
0	3	male	21	0	0	7.85	S
0	3	male	21	0	0	16.1	S
0	1	male	61	0	0	32.32	S
0	2	male	57	0	0	12.35	Q
1	1	female	21	0	0	77.96	S
0	3	male	26	0	0	7.9	S
1	1	male	80	0	0	30	S
0	3	male	51	0	0	7.05	S
1	1	male	32	0	0	30.5	C
0	3	female	9	3	2	27.9	S
1	2	female	28	0	0	13	S
0	3	male	32	0	0	7.92	S
0	2	male	31	1	1	26.25	S
0	3	female	41	0	5	39.69	S
0	3	male	20	0	0	7.85	S
1	1	female	24	0	0	69.3	C
0	3	female	2	3	2	27.9	S
1	3	female	1	2	1	19.26	C
1	1	male	48	1	0	76.73	C
0	3	male	19	0	0	7.9	S
1	1	male	56	0	0	35.5	C
1	3	female	23	0	0	7.55	S
1	2	female	18	0	1	23	S
0	3	male	21	0	0	8.43	S
0	3	female	18	0	0	6.75	Q
0	2	male	24	2	0	73.5	S
0	3	female	32	1	1	15.5	Q
0	2	male	23	0	0	13	S
0	1	male	58	0	2	113.28	C
1	1	male	50	2	0	133.65	S
0	3	male	40	0	0	7.22	C
0	1	male	47	0	0	25.59	S
0	3	male	36	0	0	7.5	S
1	3	male	20	1	0	7.92	S
0	2	male	32	2	0	73.5	S
0	3	male	43	0	0	8.05	S
1	2	female	40	1	1	39	S
0	1	male	31	1	0	52	S
0	2	male	70	0	0	10.5	S
1	2	male	31	0	0	13	S
0	3	male	18	0	0	7.78	S
0	3	male	24	0	0	8.05	S
1	3	female	18	0	0	9.84	S
1	1	male	38	1	0	90	S
1	1	male	36	0	1	512.33	C
1	1	male	27	0	0	76.73	C
0	3	male	20	0	0	9.22	S
0	3	male	14	5	2	46.9	S
0	2	male	60	1	1	39	S
0	2	male	25	1	2	41.58	C
0	3	male	14	4	1	39.69	S
0	3	male	19	0	0	10.17	S
0	3	male	18	0	0	7.8	S
1	1	female	15	0	1	211.34	S
1	1	male	31	1	0	57	S
1	3	female	4	0	1	13.42	C
0	3	male	25	0	0	7.22	C
0	1	male	60	0	0	26.55	S
0	2	male	52	0	0	13.5	S
0	3	male	44	0	0	8.05	S
0	1	male	49	1	1	110.88	C
0	3	male	42	0	0	7.65	S
1	1	female	18	1	0	227.52	C
1	1	male	35	0	0	26.29	S
0	3	female	18	0	1	14.45	C
0	3	male	25	0	0	7.74	Q
0	3	male	26	1	0	7.85	S
0	2	male	39	0	0	26	S
1	2	female	45	0	0	13.5	S
1	1	male	42	0	0	26.29	S
1	1	female	22	0	0	151.55	S
1	1	female	24	0	0	49.5	C
1	1	male	48	1	0	52	S
0	3	male	29	0	0	9.48	S
0	2	male	52	0	0	13	S
0	3	male	19	0	0	7.65	S
1	1	female	38	0	0	227.52	C
1	2	female	27	0	0	10.5	S
0	3	male	33	0	0	7.78	S
1	2	female	6	0	1	33	S
0	3	male	17	1	0	7.05	S
0	2	male	34	0	0	13	S
0	2	male	50	0	0	13	S
1	1	male	27	1	0	53.1	S
0	3	male	20	0	0	8.66	S
1	2	female	30	3	0	21	S
0	2	male	25	1	0	26	S
0	3	female	25	1	0	7.92	S
1	1	female	29	0	0	211.34	S
0	3	male	11	0	0	18.79	C
0	2	male	23	0	0	13	S
0	2	male	23	0	0	13	S
0	3	male	28	0	0	16.1	S
0	3	female	48	1	3	34.38	S
1	1	male	35	0	0	512.33	C
0	1	male	36	1	0	78.85	S
1	1	female	21	2	2	262.38	C
0	3	male	24	1	0	16.1	S
1	3	male	31	0	0	7.92	S
0	1	male	70	1	1	71	S
0	3	male	16	1	1	20.25	S
1	2	female	30	0	0	13	S
0	1	male	19	1	0	53.1	S
0	3	male	31	0	0	7.75	Q
1	2	female	4	1	1	23	S
1	3	male	6	0	1	12.47	S
0	3	male	33	0	0	9.5	S
0	3	male	23	0	0	7.9	S
1	2	female	48	1	2	65	S
1	2	male	1	1	1	14.5	S
0	3	male	28	0	0	7.8	S
0	2	male	18	0	0	11.5	S
0	3	male	34	0	0	8.05	S
1	1	female	33	0	0	86.5	S
0	3	male	41	0	0	7.12	S
1	3	male	20	0	0	7.23	C
1	1	female	36	1	2	120	S
0	3	male	16	0	0	7.78	S
1	1	female	51	1	0	77.96	S
0	3	female	30	0	0	7.75	Q
0	3	male	32	0	0	8.36	S
0	3	male	24	0	0	9.5	S
0	3	male	48	0	0	7.85	S
0	2	female	57	0	0	10.5	S
1	2	female	54	1	3	23	S
0	3	male	18	0	0	7.75	S
1	3	female	5	0	0	12.47	S
1	1	female	43	0	1	211.34	S
1	3	female	13	0	0	7.23	C
1	1	female	17	1	0	57	S
0	1	male	29	0	0	30	S
0	3	male	25	0	0	7.05	S
0	3	male	25	0	0	7.25	S
1	3	female	18	0	0	7.5	S
0	3	male	8	4	1	29.12	Q
1	3	male	1	1	2	20.58	S
0	1	male	46	0	0	79.2	C
0	2	male	16	0	0	26	S
0	3	male	25	0	0	7.9	S
0	2	male	39	0	0	13	S
1	1	female	49	0	0	25.93	S
1	3	female	31	0	0	8.68	S
0	3	male	30	0	0	7.23	C
0	3	female	30	1	1	24.15	S
0	2	male	34	0	0	13	S
1	2	female	31	1	1	26.25	S
1	1	male	11	1	2	120	S
1	3	male	0	0	1	8.52	C
1	3	male	27	0	0	6.97	S
0	3	male	31	0	0	7.78	S
0	1	male	39	0	0	0	S
0	3	female	18	0	0	7.78	S
0	2	male	39	0	0	13	S
1	1	female	33	1	0	53.1	S
0	3	male	26	0	0	7.89	S
0	3	male	39	0	0	24.15	S
0	2	male	35	0	0	10.5	S
0	3	female	6	4	2	31.27	S
0	3	male	30	0	0	8.05	S
0	3	female	23	0	0	7.92	S
0	2	male	31	1	1	37	C
0	3	male	43	0	0	6.45	S
0	3	male	10	3	2	27.9	S
1	1	female	52	1	1	93.5	S
1	3	male	27	0	0	8.66	S
0	1	male	38	0	0	0	S
1	3	female	27	0	1	12.47	S
0	3	male	2	4	1	39.69	S
1	2	male	1	0	2	37	C
1	1	female	62	0	0	80	S
1	3	female	15	1	0	14.45	C
1	2	male	1	1	1	18.75	S
0	3	male	23	0	0	7.85	S
0	3	male	18	0	0	8.3	S
1	1	female	39	1	1	83.16	C
0	3	male	21	0	0	8.66	S
1	3	male	32	0	0	56.5	S
0	3	male	20	0	0	7.92	S
0	2	male	16	0	0	10.5	S
1	1	female	30	0	0	31	C
0	3	male	34	0	0	6.44	C
0	3	male	17	0	0	8.66	S
0	3	male	42	0	0	7.55	S
0	3	male	35	0	0	7.9	C
0	2	male	28	0	1	33	S
0	3	male	4	4	2	31.27	S
0	3	male	74	0	0	7.78	S
0	3	female	9	1	1	15.25	C
1	1	female	16	0	1	39.4	S
0	2	female	44	1	0	26	S
1	3	female	18	0	1	9.35	S
1	1	female	45	1	1	164.87	S
1	1	male	51	0	0	26.55	S
1	3	female	24	0	3	19.26	C
0	3	male	41	2	0	14.11	S
0	2	male	21	1	0	11.5	S
1	1	female	48	0	0	25.93	S
0	2	male	24	0	0	13	S
1	2	female	42	0	0	13	S
1	2	female	27	1	0	13.86	C
0	1	male	31	0	0	50.5	S
1	3	male	4	1	1	11.13	S
0	3	male	26	0	0	7.9	S
1	1	female	47	1	1	52.55	S
0	1	male	33	0	0	5	S
0	3	male	47	0	0	9	S
1	2	female	28	1	0	24	C
1	3	female	15	0	0	7.22	C
0	3	male	20	0	0	9.85	S
0	3	male	19	0	0	7.9	S
1	1	female	56	0	1	83.16	C
1	2	female	25	0	1	26	S
0	3	male	33	0	0	7.9	S
0	3	female	22	0	0	10.52	S
0	2	male	28	0	0	10.5	S
0	3	male	25	0	0	7.05	S
0	3	female	39	0	5	29.12	Q
0	2	male	27	0	0	13	S
1	1	female	19	0	0	30	S
1	1	male	26	0	0	30	C
0	3	male	32	0	0	7.75	Q
1	1	male	38	1	0	90	S
